fold,metric,naive_CAMS,xgboost,improvement_pct
1,RMSE,19.1467,14.1468,26.11
1,MAE,14.8085,9.9449,32.84
1,R2,-1.4887,-0.3586,1.1301
2,RMSE,19.7718,12.2546,38.02
2,MAE,17.1791,10.03,41.62
2,R2,-3.0806,-0.5676,2.513
3,RMSE,20.1914,13.2204,34.52
3,MAE,16.4304,9.2984,43.41
3,R2,-1.96,-0.2689,1.691
4,RMSE,21.3725,14.6971,31.23
4,MAE,16.9481,10.7832,36.38
4,R2,-1.6942,-0.274,1.4201
5,RMSE,17.2672,12.6564,26.7
5,MAE,14.1025,10.5967,24.86
5,R2,-2.0033,-0.6136,1.3898
mean,RMSE,19.5499,13.3951,31.32
std,RMSE,1.5129,1.017,5.09
mean,MAE,15.8937,10.1306,35.82
std,MAE,1.3636,0.5874,7.43
mean,R2,-2.0454,-0.4165,1.63
std,R2,0.6152,0.1636,0.53
